NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 172 , 315 , 443 , 501 , 647 , 691 , 815 , 959 ," 1,163 "," 1,333 "," 1,639 "," 1,698 "," 2,061 "," 2,220 "," 2,462 "," 2,825 "," 2,883 "," 3,223 "," 3,660 "," 4,245 "," 4,480 "," 4,826 "," 5,559 "," 6,270 "," 7,013 "," 7,783 "," 8,575 "," 9,907 "," 12,127 "," 13,578 "," 13,391 "," 16,512 "," 18,606 "," 19,562 "," 22,418 "," 24,949 "," 27,759 "," 29,174 "," 32,039 "," 36,371 "," 45,936 "," 50,135 "," 52,979 "," 58,476 "," 64,208 "," 67,761 "," 71,112 "," 76,765 "," 91,672 "," 102,746 "," 111,263 "," 108,886 "," 120,688 "," 123,839 "
State and Local  Administration Expenditures, 30 , 38 , 43 , 44 , 85 , 150 , 123 , 118 , 138 , 157 , 166 , 169 , 210 , 237 , 273 , 321 , 362 , 481 , 480 , 532 , 652 , 696 , 719 , 906 ," 1,063 "," 1,105 "," 1,289 "," 1,546 "," 1,737 "," 1,941 "," 2,249 "," 2,564 "," 2,943 "," 3,132 "," 4,223 "," 4,637 "," 3,632 "," 4,183 "," 4,513 "," 4,697 "," 5,634 "," 7,395 "," 8,730 "," 10,133 "," 10,517 "," 10,561 "," 10,607 "," 9,854 "," 9,413 "," 8,996 "," 8,470 "," 9,211 "," 9,332 "," 10,633 "," 12,028 "," 11,579 "," 12,465 "," 12,748 "," 12,929 "," 13,254 "
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,917 "," 4,285 "," 4,733 "," 5,424 "," 5,826 "," 6,350 "," 6,504 "," 6,940 "," 7,855 "," 7,770 "," 8,181 "," 8,424 "," 8,348 "," 8,699 "," 8,592 "," 9,063 "," 9,703 "," 9,157 "," 10,096 "," 10,799 "," 10,989 "," 11,313 "
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,909 "," 4,244 "," 4,643 "," 5,311 "," 5,683 "," 6,194 "," 6,347 "," 6,762 "," 7,680 "," 7,563 "," 7,957 "," 8,199 "," 8,107 "," 8,425 "," 8,298 "," 8,722 "," 9,330 "," 8,803 "," 9,954 "," 10,653 "," 10,856 "," 11,133 "
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,909 "," 4,244 "," 4,643 "," 5,311 "," 5,683 "," 6,194 "," 6,347 "," 6,762 "," 7,680 "," 7,563 "," 7,957 "," 8,199 "," 8,107 "," 8,425 "," 8,298 "," 8,722 "," 9,330 "," 8,803 "," 9,954 "," 10,653 "," 10,856 "," 11,133 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , 41 , 90 , 113 , 143 , 156 , 158 , 177 , 175 , 208 , 224 , 225 , 240 , 274 , 295 , 341 , 373 , 354 , 142 , 146 , 133 , 180 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , 41 , 90 , 113 , 143 , 156 , 158 , 177 , 175 , 208 , 224 , 225 , 240 , 274 , 295 , 341 , 373 , 354 , 142 , 146 , 133 , 180 
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs, 30 , 38 , 43 , 44 , 85 , 150 , 98 , 60 , 65 , 71 , 53 , 54 , 60 , 67 , 78 , 81 , 102 , 123 , 127 , 142 , 157 , 167 , 173 , 211 , 253 , 298 , 378 , 464 , 553 , 651 , 700 , 856 , 957 , 796 , 756 , 725 , 805 , 737 , 596 , 412 , 901 ," 1,971 "," 2,904 "," 3,783 "," 4,012 "," 3,621 "," 2,752 "," 2,083 "," 1,233 ", 572 , 123 , 512 , 739 ," 1,569 "," 2,326 "," 2,422 "," 2,369 "," 1,949 "," 1,940 "," 1,941 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation, 13 , 14 , 14 , 15 , 16 , 16 , 18 , 20 , 21 , 23 , 28 , 27 , 31 , 37 , 46 , 53 , 64 , 76 , 81 , 90 , 98 , 106 , 109 , 135 , 178 , 213 , 287 , 366 , 452 , 545 , 590 , 731 , 819 , 648 , 600 , 564 , 636 , 557 , 412 , 220 , 699 ," 1,762 "," 2,688 "," 3,562 "," 3,793 "," 3,403 "," 2,540 "," 1,840 ", 972 , 323 , (125), 281 , 521 ," 1,343 "," 2,080 "," 2,181 "," 2,132 "," 1,703 "," 1,682 "," 1,680 "
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health, 7 , 10 , 10 , 11 , 12 , 14 , 16 , 18 , 21 , 24 , 23 , 26 , 27 , 27 , 29 , 25 , 34 , 44 , 42 , 47 , 54 , 55 , 58 , 69 , 69 , 79 , 84 , 91 , 94 , 98 , 102 , 117 , 130 , 139 , 147 , 153 , 159 , 170 , 174 , 181 , 190 , 196 , 204 , 209 , 207 , 206 , 199 , 230 , 249 , 236 , 234 , 218 , 205 , 213 , 232 , 227 , 222 , 231 , 243 , 246 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, 7 , 10 , 10 , 11 , 12 , 14 , 16 , 18 , 21 , 24 , 23 , 26 , 27 , 27 , 29 , 25 , 34 , 44 , 42 , 47 , 54 , 55 , 58 , 69 , 69 , 79 , 84 , 91 , 94 , 98 , 102 , 117 , 130 , 139 , 147 , 153 , 159 , 170 , 174 , 181 , 190 , 196 , 204 , 209 , 207 , 206 , 199 , 230 , 249 , 236 , 234 , 218 , 205 , 213 , 232 , 227 , 222 , 231 , 243 , 246 
         Vocational Rehabilitation, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 11 , 13 , 13 , 12 , 13 , 14 , 13 , 13 , 13 , 14 , 14 , 14 , 14 , 15 , 15 
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 , 8 , 9 , 9 , 9 , 9 , 9 , 10 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 11 , 13 , 13 , 12 , 13 , 14 , 13 , 13 , 13 , 14 , 14 , 14 , 14 , 15 , 15 
         Other Federal Programs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**, 10 , 13 , 18 , 17 , 56 , 120 , 63 , 21 , 21 , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 25 , 58 , 73 , 86 , 113 , 114 , 150 , 170 , 195 , 240 , 260 , 357 , 352 , 390 , 495 , 529 , 546 , 695 , 809 , 807 , 911 ," 1,082 "," 1,183 "," 1,290 "," 1,550 "," 1,708 "," 1,985 "," 2,336 "," 3,468 "," 3,911 "," 2,827 "," 3,446 "," 3,917 "," 4,285 "," 4,733 "," 5,424 "," 5,826 "," 6,350 "," 6,504 "," 6,940 "," 7,855 "," 7,770 "," 8,181 "," 8,424 "," 8,348 "," 8,699 "," 8,592 "," 9,063 "," 9,703 "," 9,157 "," 10,096 "," 10,799 "," 10,989 "," 11,313 "
Federal Administration Expenditures, 24 , 29 , 36 , 38 , 57 , 87 , 211 , 303 , 421 , 470 , 574 , 625 , 719 , 849 ," 1,035 "," 1,172 "," 1,499 "," 1,461 "," 1,846 "," 1,975 "," 2,118 "," 2,458 "," 2,518 "," 2,686 "," 2,954 "," 3,431 "," 3,479 "," 3,564 "," 4,111 "," 4,592 "," 4,940 "," 5,402 "," 5,714 "," 6,129 "," 6,750 "," 7,073 "," 7,239 "," 8,081 "," 8,788 "," 9,819 "," 11,458 "," 12,209 "," 13,835 "," 15,012 "," 16,546 "," 17,659 "," 18,156 "," 19,323 "," 19,877 "," 20,635 "," 21,728 "," 23,691 "," 24,866 "," 26,889 "," 30,241 "," 31,196 "," 32,514 "," 32,253 "," 34,354 "," 35,696 "
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, 12 , 12 , 13 , 13 , 13 , 13 , 159 , 272 , 387 , 436 , 559 , 606 , 699 , 829 ," 1,014 "," 1,140 "," 1,432 "," 1,393 "," 1,768 "," 1,892 "," 2,035 "," 2,363 "," 2,407 "," 2,585 "," 2,850 "," 3,323 "," 3,375 "," 3,461 "," 3,995 "," 4,473 "," 4,797 "," 5,249 "," 5,546 "," 5,930 "," 6,533 "," 6,852 "," 7,014 "," 7,868 "," 8,561 "," 9,570 "," 11,185 "," 11,899 "," 13,513 "," 14,678 "," 16,202 "," 17,316 "," 17,796 "," 18,952 "," 19,522 "," 20,227 "," 21,024 "," 22,621 "," 23,167 "," 23,915 "," 27,419 "," 28,923 "," 30,853 "," 31,273 "," 33,328 "," 34,684 "
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare, -   , -   , -   , -   , -   , -   , 120 , 193 , 287 , 310 , 397 , 407 , 474 , 548 , 680 , 726 , 879 , 754 ," 1,002 "," 1,022 "," 1,127 "," 1,308 "," 1,279 "," 1,416 "," 1,549 "," 1,912 "," 1,867 "," 1,858 "," 2,238 "," 2,474 "," 2,455 "," 2,812 "," 3,002 "," 2,801 "," 3,057 "," 3,023 "," 3,279 "," 3,228 "," 3,431 "," 3,671 "," 4,676 "," 4,522 "," 5,099 "," 5,182 "," 6,288 "," 6,494 "," 6,673 "," 6,680 "," 6,873 "," 6,974 "," 7,310 "," 8,229 "," 8,856 "," 8,577 "," 9,673 "," 9,850 "," 10,309 "," 9,699 "," 11,560 "," 12,090 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 26 , 62 , 79 , 99 , 130 , 161 , 181 , 230 , 276 , 351 , 482 , 568 , 688 , 788 , 821 , 962 ," 1,019 "," 1,036 "," 1,168 "," 1,281 "," 1,372 "," 1,457 "," 1,601 "," 1,824 "," 2,145 "," 2,253 "," 2,317 "," 2,881 "," 3,202 "," 3,552 "," 3,456 "," 4,337 "," 4,762 "," 5,399 "," 5,829 "," 6,480 "," 7,099 "," 7,775 "," 7,743 "," 8,183 "," 8,161 "," 9,076 "," 9,437 "," 9,747 "," 9,679 "," 10,206 "," 10,452 "," 11,601 "," 13,752 "," 14,815 "," 15,667 "," 16,352 "," 16,763 "," 17,306 "
                          Federal  , -   , -   , -   , -   , -   , -   , 26 , 62 , 79 , 99 , 130 , 161 , 181 , 230 , 276 , 351 , 482 , 568 , 688 , 788 , 821 , 962 ," 1,019 "," 1,036 "," 1,168 "," 1,281 "," 1,372 "," 1,457 "," 1,601 "," 1,824 "," 2,145 "," 2,253 "," 2,317 "," 2,881 "," 3,202 "," 3,552 "," 3,456 "," 4,337 "," 4,762 "," 5,399 "," 5,829 "," 6,480 "," 7,099 "," 7,775 "," 7,743 "," 8,183 "," 8,161 "," 9,076 "," 9,437 "," 9,747 "," 9,679 "," 10,206 "," 10,452 "," 11,601 "," 13,752 "," 14,815 "," 15,667 "," 16,352 "," 16,763 "," 17,306 "
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 101 , 214 , 269 , 331 , 360 , 360 , 407 , 396 , 472 , 523 , 534 , 570 , 633 , 676 , 758 , 850 , 990 ," 1,374 "," 1,503 "," 1,567 "," 1,645 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 101 , 214 , 269 , 331 , 360 , 360 , 407 , 396 , 472 , 523 , 534 , 570 , 633 , 676 , 758 , 850 , 990 ," 1,374 "," 1,503 "," 1,567 "," 1,645 "
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Defense, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 5 , 9 , 11 , 13 , 17 , 21 , 25 , 26 , 26 , 29 , 32 , 32 , 35 , 37 , 42 , 53 , 73 , 68 , 68 , 82 , 99 , 111 , 129 , 152 , 131 , 168 , 172 , 194 , 203 , 206 , 234 , 277 , 325 , 385 , 539 , 869 ," 1,203 "," 1,609 "," 2,017 "," 2,381 "," 2,595 "," 2,624 "," 2,890 "," 3,429 "," 3,521 "," 3,152 "," 2,926 "," 3,108 "," 3,033 "," 3,101 "," 2,993 "," 2,631 "," 2,558 "
         Department of Veterans Affairs, 10 , 10 , 11 , 11 , 12 , 12 , 12 , 12 , 12 , 16 , 19 , 21 , 23 , 26 , 32 , 37 , 41 , 38 , 46 , 47 , 50 , 52 , 55 , 60 , 64 , 61 , 53 , 47 , 45 , 46 , 44 , 53 , 60 , 76 , 80 , 75 , 72 , 68 , 69 , 73 , 80 , 89 , 114 , 158 , 203 , 215 , 184 , 128 , 66 , 82 , 36 , 32 , 31 , 53 , 36 , 235 , 402 , 725 , 807 ," 1,084 "
     Other Third Party Payers and Programs, 12 , 17 , 23 , 25 , 43 , 74 , 52 , 31 , 34 , 34 , 15 , 19 , 20 , 20 , 21 , 32 , 67 , 68 , 79 , 83 , 84 , 95 , 111 , 101 , 105 , 108 , 105 , 104 , 116 , 120 , 143 , 153 , 168 , 199 , 217 , 221 , 226 , 214 , 227 , 249 , 273 , 310 , 323 , 334 , 344 , 343 , 360 , 371 , 355 , 408 , 704 ," 1,070 "," 1,699 "," 2,973 "," 2,823 "," 2,273 "," 1,661 ", 980 ," 1,026 "," 1,012 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 8 , 9 , 11 , 12 , 13 , 15 , 15 , 17 , 20 , 22 , 21 , 21 , 24 , 28 , 34 , 40 , 45 , 48 , 54 , 59 , 59 , 62 , 67 , 74 , 84 , 91 , 92 , 97 , 98 , 98 , 101 , 101 , 101 , 114 , 139 , 143 , 155 , 156 , 186 , 196 , 205 , 206 , 211 , 216 
         Workers' Compensation, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 4 , 4 , 4 , 4 , 4 , 5 , 8 , 10 , 9 , 7 , 9 , 11 , 12 , 13 , 14 , 15 , 17 , 17 , 17 , 17 , 18 , 18 , 18 , 22 , 25 , 26 , 30 , 36 , 38 , 41 , 49 , 51 , 59 , 80 , 91 , 100 , 102 , 103 , 112 , 122 , 127 , 131 , 141 
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 5 , 4 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 5 , 4 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 5 , 6 , 7 , 8 , 8 , 10 , 12 , 14 , 14 , 14 , 14 , 15 , 17 , 18 , 18 , 18 , 19 , 20 , 21 , 23 , 24 , 24 , 26 , 27 , 28 , 29 , 27 , 26 , 27 , 31 , 32 , 33 , 36 , 37 , 39 , 39 , 40 , 38 , 40 , 41 , 40 , 44 , 48 , 48 , 46 , 46 , 46 , 46 , 47 , 47 , 48 , 50 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 5 , 6 , 7 , 8 , 8 , 10 , 12 , 14 , 14 , 14 , 14 , 15 , 17 , 18 , 18 , 18 , 19 , 20 , 21 , 23 , 24 , 24 , 26 , 27 , 28 , 29 , 27 , 26 , 27 , 31 , 32 , 33 , 36 , 37 , 39 , 39 , 40 , 38 , 40 , 41 , 40 , 44 , 48 , 48 , 46 , 46 , 46 , 46 , 47 , 47 , 48 , 50 
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*, 10 , 14 , 20 , 22 , 40 , 70 , 47 , 25 , 26 , 24 , 4 , 6 , 6 , 4 , 3 , -   , 30 , 30 , 35 , 37 , 34 , 43 , 60 , 48 , 49 , 50 , 49 , 43 , 39 , 40 , 45 , 43 , 49 , 59 , 59 , 65 , 84 , 69 , 67 , 73 , 79 , 86 , 97 , 107 , 106 , 107 , 115 , 114 , 98 , 122 , 369 , 714 ," 1,310 "," 2,581 "," 2,404 "," 1,834 "," 1,200 ", 483 , 519 , 489 
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 8 , 7 , 9 , 8 , 10 , 9 , 8 , 7 , 4 , 4 , 4 , 5 , 15 , 12 , 22 , 25 , 27 , 43 , 56 , 51 , 35 , 31 , 39 , 46 , 50 , 68 , 65 , 57 , 60 , 58 , 59 , 62 , 62 , 65 , 64 , 70 , 85 , 85 , 80 , 82 , 83 , 113 , 113 , 112 
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 146 , 255 , 366 , 409 , 527 , 568 , 655 , 778 , 956 ," 1,077 "," 1,362 "," 1,323 "," 1,690 "," 1,810 "," 1,948 "," 2,270 "," 2,298 "," 2,452 "," 2,717 "," 3,194 "," 3,239 "," 3,315 "," 3,839 "," 4,298 "," 4,600 "," 5,065 "," 5,318 "," 5,682 "," 6,259 "," 6,575 "," 6,735 "," 7,565 "," 8,215 "," 9,172 "," 10,719 "," 11,270 "," 12,530 "," 13,317 "," 14,390 "," 15,083 "," 15,231 "," 16,229 "," 16,832 "," 17,255 "," 17,559 "," 19,068 "," 19,985 "," 20,936 "," 24,274 "," 25,655 "," 27,350 "," 27,554 "," 29,890 "," 31,041 "
Net Cost of Health Insurance Expenditures," 1,006 "," 1,086 "," 1,199 "," 1,235 "," 1,358 "," 1,587 "," 1,711 "," 1,698 "," 2,006 "," 1,764 "," 1,868 "," 2,398 "," 3,354 "," 3,677 "," 3,164 "," 3,380 "," 4,833 "," 7,397 "," 8,748 "," 9,404 "," 9,142 "," 10,774 "," 12,889 "," 14,674 "," 19,244 "," 20,367 "," 17,457 "," 15,710 "," 20,614 "," 27,138 "," 31,099 "," 31,263 "," 33,840 "," 42,467 "," 44,474 "," 45,531 "," 48,584 "," 48,587 "," 49,951 "," 54,783 "," 62,857 "," 69,586 "," 88,283 "," 105,428 "," 112,783 "," 120,933 "," 134,999 "," 141,529 "," 136,992 "," 135,277 "," 150,140 "," 155,475 "," 161,323 "," 168,343 "," 188,504 "," 199,068 "," 210,583 "," 219,055 "," 249,504 "," 239,938 "
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, 761 , 831 , 911 , 938 ," 1,028 "," 1,209 "," 1,288 "," 1,241 "," 1,464 "," 1,214 "," 1,286 "," 1,802 "," 2,651 "," 2,853 "," 2,352 "," 2,542 "," 3,850 "," 6,032 "," 7,055 "," 7,304 "," 6,848 "," 8,230 "," 10,038 "," 11,842 "," 16,355 "," 17,295 "," 14,688 "," 12,647 "," 16,963 "," 23,278 "," 26,697 "," 27,233 "," 29,035 "," 35,644 "," 36,656 "," 37,446 "," 40,174 "," 40,695 "," 42,094 "," 46,536 "," 53,125 "," 58,622 "," 74,144 "," 86,921 "," 92,198 "," 98,726 "," 110,250 "," 118,504 "," 118,131 "," 118,388 "," 133,089 "," 138,472 "," 141,923 "," 146,524 "," 165,658 "," 175,081 "," 186,965 "," 194,156 "," 222,049 "," 212,519 "
          Private Health Insurance, 761 , 831 , 911 , 938 ," 1,028 "," 1,209 "," 1,287 "," 1,239 "," 1,460 "," 1,208 "," 1,279 "," 1,793 "," 2,642 "," 2,843 "," 2,339 "," 2,527 "," 3,833 "," 6,014 "," 7,036 "," 7,284 "," 6,829 "," 8,204 "," 9,999 "," 11,767 "," 16,221 "," 17,051 "," 14,359 "," 12,218 "," 16,426 "," 22,596 "," 25,834 "," 26,222 "," 27,764 "," 33,755 "," 34,256 "," 34,354 "," 36,346 "," 35,195 "," 35,621 "," 40,431 "," 46,159 "," 50,367 "," 64,741 "," 77,414 "," 81,053 "," 84,378 "," 87,400 "," 92,369 "," 90,165 "," 85,590 "," 94,788 "," 98,477 "," 99,388 "," 99,759 "," 107,963 "," 107,147 "," 113,148 "," 123,623 "," 142,240 "," 131,034 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 11 , 26 , 59 , 156 , 249 , 348 , 415 , 495 , 591 , 681 , 804 ," 1,186 "," 1,512 "," 1,943 "," 2,453 "," 3,785 "," 4,427 "," 3,467 "," 3,820 "," 4,053 "," 3,731 "," 3,485 "," 4,738 "," 6,990 "," 14,720 "," 17,360 "," 18,084 "," 21,567 "," 23,405 "," 24,518 "," 25,846 "," 26,744 "," 28,412 "," 31,792 "," 36,551 "," 36,106 "," 41,394 "," 44,615 "
